[2026-07-16 09:43:59][INFO] 从配置加载了 36 个种子URL
[2026-07-16 09:45:17][INFO] 抓取成功 [https://gh.scu.edu.cn/front/news.do?dispatch=listByProType_&ntype_id=081201] 32491 bytes
[2026-07-16 09:45:17][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/m/0/12172124/12827113?p=2299562] 331376 bytes
[2026-07-16 09:45:17][INFO] POST 抓取成功 [https://lib.scu.edu.cn/engine2/general/12172124/type/more-datas] 34074 bytes
[2026-07-16 09:45:17][INFO] POST 抓取成功 [https://lib.scu.edu.cn/engine2/general/12172124/type/more-datas] 34222 bytes
[2026-07-16 09:45:18][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/66248453/12827113/0/12172124?t=-1&p=1] 319112 bytes
[2026-07-16 09:45:18][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582957/12827113/0/12172124?t=-1&p=1] 365210 bytes
[2026-07-16 09:45:19][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/66248452/12827113/0/12172124?t=-1&p=1] 316934 bytes
[2026-07-16 09:45:20][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/66248451/12827113/0/12172124?t=-1&p=1] 320702 bytes
[2026-07-16 09:45:21][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/66248450/12827113/0/12172124?t=-1&p=1] 323808 bytes
[2026-07-16 09:45:21][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65878741/12827113/0/12172124?t=-1&p=1] 335044 bytes
[2026-07-16 09:45:22][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65537476/12827113/0/12172124?t=-1&p=1] 314898 bytes
[2026-07-16 09:45:23][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65180963/12827113/0/12172124?t=-1&p=1] 323930 bytes
[2026-07-16 09:45:23][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65180930/12827113/0/12172124?t=-1&p=1] 321806 bytes
[2026-07-16 09:45:24][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65180964/12827113/0/12172124?t=-1&p=1] 327963 bytes
[2026-07-16 09:45:25][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65180965/12827113/0/12172124?t=-1&p=1] 312457 bytes
[2026-07-16 09:45:25][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582956/12827113/0/12172124?t=-1&p=1] 316867 bytes
[2026-07-16 09:45:26][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582955/12827113/0/12172124?t=-1&p=1] 318153 bytes
[2026-07-16 09:45:27][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582954/12827113/0/12172124?t=-1&p=1] 317588 bytes
[2026-07-16 09:45:28][INFO] POST 抓取成功 [https://lib.scu.edu.cn/engine2/general/12172124/type/more-datas] 27786 bytes
[2026-07-16 09:45:28][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582953/12827113/0/12172124?t=-1&p=1] 319766 bytes
[2026-07-16 09:45:29][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582952/12827113/0/12172124?t=-1&p=1] 315699 bytes
[2026-07-16 09:45:29][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582951/12827113/0/12172124?t=-1&p=1] 316800 bytes
[2026-07-16 09:45:30][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582950/12827113/0/12172124?t=-1&p=1] 315320 bytes
[2026-07-16 09:45:31][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582949/12827113/0/12172124?t=-1&p=1] 320355 bytes
[2026-07-16 09:45:31][INFO] 抓取成功 [https://lib.scu.edu.cn/engine2/d/65582948/12827113/0/12172124?t=-1&p=1] 319063 bytes
[2026-07-16 09:45:32][INFO] 抓取成功 [https://www.wchscu.cn/comprehensive.html] 48630 bytes
[2026-07-16 09:45:34][INFO] 抓取成功 [https://www.hxkq.org/Html/News/Columns/150/Index.html] 99086 bytes
[2026-07-16 09:45:35][INFO] 抓取成功 [https://www.hxkq.org/Html/News/Articles/14877.html] 105736 bytes
[2026-07-16 09:45:35][INFO] 抓取成功 [https://www.hxkq.org/Html/News/Articles/14851.html] 92265 bytes
[2026-07-16 09:45:36][INFO] 抓取成功 [https://www.hxkq.org/Html/News/Articles/14781.html] 95241 bytes
[2026-07-16 09:45:36][INFO] 抓取成功 [https://www.hxkq.org/Html/News/Articles/14665.html] 95485 bytes
[2026-07-16 09:45:37][INFO] 抓取成功 [https://www.hxkq.org/Html/News/Articles/14664.html] 92218 bytes
[2026-07-16 09:45:37][INFO] 抓取成功 [https://www.hxkq.org/Html/News/Articles/14663.html] 90570 bytes
[2026-07-16 09:45:38][INFO] 抓取成功 [https://www.hxkq.org/Html/News/Articles/14510.html] 94982 bytes
[2026-07-16 09:45:38][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/tzgg.htm] 21083 bytes
[2026-07-16 09:45:39][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/tzgg/3.htm] 21457 bytes
[2026-07-16 09:45:39][INFO] 抓取成功 [https://pharmacy.scu.edu.cn/info/1013/6696.htm] 27691 bytes
